en,vi
Click original link to view message,Nhấp vào liên kết gốc để xem tin nhắn
Unsubscribe,Hủy đăng ký
Resubscribe,Đăng ký lại
Change email address,Thay đổi địa chỉ email
Created with,Được tạo bằng
Previously opened,Đã mở trước đó
Download interrupted (check your internet connection),Tải xuống bị gián đoạn (kiểm tra kết nối internet của bạn)
Message has expired,Tin nhắn đã hết hạn
Could not read message (part of the link may be missing),Không thể đọc tin nhắn (một phần liên kết có thể bị thiếu)
Unknown error,Lỗi không xác định
Request new copy,Yêu cầu bản sao mới
Retry,Thử lại
Network issue detected,Phát hiện sự cố mạng
Invalid URL,URL không hợp lệ
This account is no longer active,Tài khoản này không còn hoạt động
You've unsubscribed,Bạn đã hủy đăng ký
undo,HOÀN TÁC
This message was sent to,Tin nhắn này được gửi đến
New email address,Địa chỉ email mới
Cancel,Hủy
Change,Thay đổi
Request new copy of message,Yêu cầu bản sao mới của tin nhắn
Send,Gửi
Full name,Họ và tên
Email address,Địa chỉ email
Message,Tin nhắn
subscribed,đã đăng ký
Close,Đóng
Subscribe,Đăng ký
Are you sure you'd like to unsubscribe?,Bạn có chắc chắn muốn hủy đăng ký không?
Replied,Đã trả lời
Only author can see,Chỉ tác giả có thể xem
Secure reply,Trả lời an toàn
All responses are securely encrypted and only visible to author,Tất cả phản hồi được mã hóa an toàn và chỉ hiển thị với tác giả
Click to save,Nhấp để lưu
Click to open,Nhấp để mở
Download,Tải xuống
Commented,Đã bình luận
